Filename,Condition,BioReplicate,Run
fbetty_L151027_SW_10-1,high,10,1
fbetty_L151027_SW_11-1,low,11,2
fbetty_L151027_SW_120-1,low,120,3
fbetty_L151027_SW_121-1C,low,121,4
fbetty_L151027_SW_131-1C,low,131,5
fbetty_L151027_SW_138-1C,low,138,6
fbetty_L151027_SW_15-1C,low,15,7
fbetty_L151027_SW_156-1C,low,156,8
fbetty_L151027_SW_159-1,high,159,9
fbetty_L151027_SW_164-1,low,164,10
fbetty_L151027_SW_165-1,high,165,11
fbetty_L151027_SW_166-1,high,166,12
fbetty_L151027_SW_176-1C,high,176,13
fbetty_L151027_SW_179-1,low,179,14
fbetty_L151027_SW_182-1C,low,182,15
fbetty_L151027_SW_187-1C,high,187,16
fbetty_L151027_SW_193-1C,high,193,17
fbetty_L151027_SW_196-1C,low,196,18
fbetty_L151027_SW_198-1,high,198,19
fbetty_L151027_SW_20-1,low,20,20
fbetty_L151027_SW_200-1,high,200,21
fbetty_L151027_SW_212-1,low,212,22
fbetty_L151027_SW_214-1,high,214,23
fbetty_L151027_SW_224-1,high,224,24
fbetty_L151027_SW_23-1C,low,23,25
fbetty_L151027_SW_235-1,high,235,26
fbetty_L151027_SW_237-1,high,237,27
fbetty_L151027_SW_242-1,high,242,28
fbetty_L151027_SW_256-1C,high,256,29
fbetty_L151027_SW_279-1,high,279,30
fbetty_L151027_SW_28-1,low,28,31
fbetty_L151027_SW_286-1,low,286,32
fbetty_L151027_SW_294-1,high,294,33
fbetty_L151027_SW_300-1,low,300,34
fbetty_L151027_SW_305-1C,high,305,35
fbetty_L151027_SW_311-1C,low,311,36
fbetty_L151027_SW_315-1C,high,315,37
fbetty_L151027_SW_32-1C,high,32,38
fbetty_L151027_SW_321-1C,low,321,39
fbetty_L151027_SW_322-1C,low,322,40
fbetty_L151027_SW_327-1C,low,327,41
fbetty_L151027_SW_34-1C,low,34,42
fbetty_L151027_SW_340-1,high,340,43
fbetty_L151027_SW_352-1,high,352,44
fbetty_L151027_SW_361-1,low,361,45
fbetty_L151027_SW_37-1C,high,37,46
fbetty_L151027_SW_39-1,low,39,47
fbetty_L151027_SW_42-1C,high,42,48
fbetty_L151027_SW_43-1C,high,43,49
fbetty_L151027_SW_47-1,high,47,50
fbetty_L151027_SW_58-1,high,58,51
fbetty_L151027_SW_69-1C,high,69,52
fbetty_L151027_SW_72-1,high,72,53
fbetty_L151027_SW_73-1,high,73,54
fbetty_L151027_SW_81-1,high,81,55
fbetty_L151027_SW_93-1,high,93,56
fbetty_L151027_SW_R1,NA,R1,57
fbetty_L151027_SW_R2,NA,R2,58
